	Zn	bo
OG0000754	Znev_15718	Bo_m.92476, Bo_m.92481, Bo_m.92482, Bo_m.92483
OG0000755	Znev_12951	Bo_m.17677, Bo_m.377991, Bo_m.377992, Bo_m.377993
OG0000756	Znev_06707	Bo_m.281407, Bo_m.281425, Bo_m.281436, Bo_m.281452
OG0000757	Znev_05899	Bo_m.67906, Bo_m.67922, Bo_m.67933, Bo_m.67942
OG0000758	Znev_05915	Bo_m.93098, Bo_m.93105, Bo_m.93114, Bo_m.93123
OG0000759	Znev_16712	Bo_m.330966, Bo_m.330967, Bo_m.330968, Bo_m.330970
OG0000760	Znev_04015	Bo_m.191434, Bo_m.191439, Bo_m.191448, Bo_m.191456
OG0000761	Znev_04024	Bo_m.99416, Bo_m.99426, Bo_m.99435, Bo_m.99440
OG0000762	Znev_04388	Bo_m.236277, Bo_m.236303, Bo_m.236309, Bo_m.236315
OG0000763	Znev_10070, Znev_17437	Bo_m.245545, Bo_m.245546, Bo_m.245547
OG0000764	Znev_12419	Bo_m.269086, Bo_m.269094, Bo_m.269108, Bo_m.269122
OG0000765	Znev_07131	Bo_m.35083, Bo_m.35094, Bo_m.35100, Bo_m.35103
OG0000766	Znev_12205	Bo_m.238944, Bo_m.238955, Bo_m.238963, Bo_m.238971
OG0000767	Znev_07264	Bo_m.187831, Bo_m.187835, Bo_m.187838, Bo_m.187840
OG0000768	Znev_07278	Bo_m.252227, Bo_m.252232, Bo_m.252236, Bo_m.252240
OG0000769	Znev_18396	Bo_m.246593, Bo_m.246595, Bo_m.246598, Bo_m.246600
OG0000770	Znev_14677	Bo_m.204524, Bo_m.204525, Bo_m.204526, Bo_m.204527
OG0000771	Znev_10629	Bo_m.194245, Bo_m.194257, Bo_m.194258, Bo_m.194267
OG0000772	Znev_13159	Bo_m.30010, Bo_m.30015, Bo_m.30020, Bo_m.30028
OG0000773	Znev_13619, Znev_14981	Bo_m.250329, Bo_m.250333, Bo_m.78199
OG0000774	Znev_13620	Bo_m.202956, Bo_m.202961, Bo_m.202966, Bo_m.202971
OG0000775	Znev_02972	Bo_m.90554, Bo_m.90588, Bo_m.90598, Bo_m.90613
OG0000776	Znev_02995	Bo_m.242700, Bo_m.242701, Bo_m.242712, Bo_m.242721
OG0000777	Znev_15237	Bo_m.172269, Bo_m.241772, Bo_m.98681, Bo_m.98684
OG0000778	Znev_13971	Bo_m.210384, Bo_m.210391, Bo_m.210399, Bo_m.210406
OG0000779	Znev_10511	Bo_m.204621, Bo_m.204627, Bo_m.204632, Bo_m.204641
OG0000780	Znev_10512, Znev_10518, Znev_10519, Znev_10529	Bo_m.8434
OG0000781	Znev_04062	Bo_m.47905, Bo_m.47912, Bo_m.47920, Bo_m.47928
OG0000782	Znev_04066	Bo_m.55484, Bo_m.55489, Bo_m.55494, Bo_m.55500
OG0000783	Znev_16687	Bo_m.47909, Bo_m.47917, Bo_m.47924, Bo_m.47933
OG0000784	Znev_12320	Bo_m.80434, Bo_m.80443, Bo_m.80470, Bo_m.80481
OG0000785	Znev_12611	Bo_m.91341, Bo_m.91343, Bo_m.91344, Bo_m.91345
OG0000786	Znev_11588	Bo_m.249681, Bo_m.249689, Bo_m.249694, Bo_m.249700
OG0000787	Znev_10500	Bo_m.35539, Bo_m.35550, Bo_m.35560, Bo_m.35571
OG0000788	Znev_13438	Bo_m.158215, Bo_m.158228, Bo_m.158237, Bo_m.158239
OG0000789	Znev_14008	Bo_m.117055, Bo_m.117060, Bo_m.117064, Bo_m.117068
OG0000790	Znev_18751	Bo_m.183646, Bo_m.183651, Bo_m.183654, Bo_m.183658
OG0000791	Znev_01682	Bo_m.108896, Bo_m.108899, Bo_m.108907, Bo_m.108910
OG0000792	Znev_12411	Bo_m.170063, Bo_m.170072, Bo_m.170082, Bo_m.170091
OG0000793	Znev_10303	Bo_m.276300, Bo_m.276301, Bo_m.276302, Bo_m.276303
OG0000794	Znev_05816	Bo_m.38356, Bo_m.38358, Bo_m.38360, Bo_m.38363
OG0000795	Znev_13661	Bo_m.258265, Bo_m.258268, Bo_m.258270, Bo_m.258272
OG0000796	Znev_06110	Bo_m.76142, Bo_m.76147, Bo_m.76152, Bo_m.76157
OG0000797	Znev_06266	Bo_m.38073, Bo_m.38076, Bo_m.38080, Bo_m.38083
OG0000798	Znev_15832	Bo_m.220146, Bo_m.83631, Bo_m.83634, Bo_m.83637
OG0000799	Znev_01951	Bo_m.51160, Bo_m.51173, Bo_m.51200, Bo_m.51213
OG0000800	Znev_17481	Bo_m.255858, Bo_m.255863, Bo_m.255868, Bo_m.255872
OG0000801	Znev_11636, Znev_11637	Bo_m.103711, Bo_m.103716, Bo_m.103721
OG0000802	Znev_09486	Bo_m.74917, Bo_m.74919, Bo_m.74922, Bo_m.74924
OG0000803	Znev_09491	Bo_m.212576, Bo_m.212581, Bo_m.212586, Bo_m.212592
OG0000804	Znev_06961	Bo_m.160400, Bo_m.160405, Bo_m.160416, Bo_m.160426
OG0000805	Znev_06973	Bo_m.215056, Bo_m.215069, Bo_m.215084, Bo_m.215092
OG0000806	Znev_06981	Bo_m.51616, Bo_m.51621, Bo_m.51623, Bo_m.51628
OG0000807	Znev_06983	Bo_m.81308, Bo_m.81316, Bo_m.81323, Bo_m.81331
OG0000808	Znev_05634	Bo_m.91034, Bo_m.91036, Bo_m.91039, Bo_m.91040
OG0000809	Znev_15358	Bo_m.167858, Bo_m.167862, Bo_m.167868, Bo_m.167874
OG0000810	Znev_11950	Bo_m.211925, Bo_m.41720, Bo_m.41724, Bo_m.41728
OG0000811	Znev_02115	Bo_m.234976, Bo_m.234993, Bo_m.235003, Bo_m.235021
OG0000812	Znev_09840	Bo_m.108940, Bo_m.108943, Bo_m.108946, Bo_m.108949
OG0000813	Znev_13261	Bo_m.175752, Bo_m.175762, Bo_m.175772, Bo_m.175790
OG0000814	Znev_04147	Bo_m.25343, Bo_m.25345, Bo_m.25348, Bo_m.25350
OG0000815	Znev_03887	Bo_m.129064, Bo_m.129082, Bo_m.129095, Bo_m.129100
OG0000816	Znev_12116	Bo_m.277371, Bo_m.277374, Bo_m.277377, Bo_m.277380
OG0000817	Znev_14311	Bo_m.77500, Bo_m.77514, Bo_m.77525, Bo_m.77536
OG0000818	Znev_00998	Bo_m.240088, Bo_m.240101, Bo_m.240107, Bo_m.240121
OG0000819	Znev_09870	Bo_m.105289, Bo_m.105301, Bo_m.105310, Bo_m.105321
OG0000820	Znev_06035	Bo_m.201506, Bo_m.201524, Bo_m.201543, Bo_m.201561
OG0000821	Znev_10748	Bo_m.153573, Bo_m.153577, Bo_m.153585, Bo_m.153588
OG0000822	Znev_13733	Bo_m.307784, Bo_m.56503, Bo_m.56504, Bo_m.56507
OG0000823	Znev_12718	Bo_m.228108, Bo_m.228132, Bo_m.228142, Bo_m.228180
OG0000824	Znev_17423	Bo_m.103116, Bo_m.103120, Bo_m.103123, Bo_m.103127
OG0000825	Znev_14738	Bo_m.42996, Bo_m.43004, Bo_m.43015, Bo_m.43019
OG0000826	Znev_10348	Bo_m.59150, Bo_m.59179, Bo_m.59227, Bo_m.59239
OG0000827	Znev_07347	Bo_m.259232, Bo_m.259236, Bo_m.259239, Bo_m.259243
OG0000828	Znev_11946	Bo_m.222834, Bo_m.222841, Bo_m.222849, Bo_m.222860
OG0000829	Znev_06613	Bo_m.73031, Bo_m.73033, Bo_m.73036, Bo_m.73039
OG0000830	Znev_12082	Bo_m.132365, Bo_m.132372, Bo_m.132389, Bo_m.132415
OG0000831	Znev_17740	Bo_m.91794, Bo_m.91805, Bo_m.91817, Bo_m.91829
OG0000832	Znev_11360	Bo_m.54029, Bo_m.54039, Bo_m.54046, Bo_m.54054
OG0000833	Znev_11990	Bo_m.96278, Bo_m.96282, Bo_m.96287, Bo_m.96292
OG0000834	Znev_13035, Znev_13036	Bo_m.79406, Bo_m.79412, Bo_m.79418
OG0000835	Znev_14914, Znev_14915	Bo_m.353047, Bo_m.353048, Bo_m.353049
OG0000836	Znev_09622	Bo_m.179032, Bo_m.179036, Bo_m.179038, Bo_m.179043
OG0000837	Znev_09623	Bo_m.94358, Bo_m.94364, Bo_m.94365, Bo_m.94368
OG0000838	Znev_06931	Bo_m.287930, Bo_m.287934, Bo_m.287938, Bo_m.287941
OG0000839	Znev_06934	Bo_m.216164, Bo_m.216182, Bo_m.216200, Bo_m.216220
OG0000840	Znev_14420	Bo_m.236809, Bo_m.236820, Bo_m.236831, Bo_m.236842
OG0000841	Znev_14421	Bo_m.236808, Bo_m.236819, Bo_m.236830, Bo_m.236841
OG0000842	Znev_04113	Bo_m.310973, Bo_m.310979, Bo_m.310984, Bo_m.310985
OG0000843	Znev_04123	Bo_m.257968, Bo_m.257970, Bo_m.257972, Bo_m.257976
OG0000844	Znev_11482	Bo_m.118985, Bo_m.118989, Bo_m.118993, Bo_m.118997
OG0000845	Znev_17680	Bo_m.119002, Bo_m.119008, Bo_m.119015, Bo_m.119023
OG0000846	Znev_13956	Bo_m.187632, Bo_m.187644, Bo_m.187656, Bo_m.187668
OG0000847	Znev_12644	Bo_m.95393, Bo_m.95397, Bo_m.95404, Bo_m.95416
OG0000848	Znev_06792	Bo_m.230363, Bo_m.230372, Bo_m.230381, Bo_m.230390
OG0000849	Znev_14509, Znev_14510	Bo_m.71819, Bo_m.71824, Bo_m.71841
OG0000850	Znev_12863	Bo_m.115300, Bo_m.115306, Bo_m.115312, Bo_m.115318
OG0000851	Znev_07976	Bo_m.164327, Bo_m.164335, Bo_m.164340, Bo_m.164347
OG0000852	Znev_07980	Bo_m.72443, Bo_m.72460, Bo_m.72477, Bo_m.72494
OG0000853	Znev_04336	Bo_m.168221, Bo_m.168224, Bo_m.168227, Bo_m.168230
OG0000854	Znev_10567	Bo_m.60088, Bo_m.60090, Bo_m.60092, Bo_m.60097
OG0000855	Znev_05301	Bo_m.239609, Bo_m.239614, Bo_m.239635, Bo_m.239646
OG0000856	Znev_07644	Bo_m.137194, Bo_m.137206, Bo_m.137220, Bo_m.137235
OG0000857	Znev_07655	Bo_m.284632, Bo_m.284633, Bo_m.284635, Bo_m.284639
OG0000858	Znev_07658	Bo_m.138517, Bo_m.138523, Bo_m.138529, Bo_m.138535
OG0000859	Znev_15808, Znev_16122	Bo_m.199949, Bo_m.199962, Bo_m.199966
OG0000860	Znev_09599, Znev_09601	Bo_m.102493, Bo_m.102497, Bo_m.153299
OG0000861	Znev_08009, Znev_16293	Bo_m.178361, Bo_m.178365, Bo_m.178371
OG0000862	Znev_14853	Bo_m.288514, Bo_m.288516, Bo_m.288517, Bo_m.288521
OG0000863	Znev_09728	Bo_m.181351, Bo_m.181362, Bo_m.181366, Bo_m.181370
OG0000864	Znev_09734, Znev_09735	Bo_m.32371, Bo_m.38902, Bo_m.38909
OG0000865	Znev_14085	Bo_m.60973, Bo_m.60988, Bo_m.61002, Bo_m.61027
OG0000866	Znev_15299	Bo_m.215065, Bo_m.215103, Bo_m.215119, Bo_m.215123
OG0000867	Znev_15302	Bo_m.127944, Bo_m.127947, Bo_m.127954, Bo_m.127960
OG0000868	Znev_14747	Bo_m.122768, Bo_m.122773, Bo_m.122776, Bo_m.122785
OG0000869	Znev_09911	Bo_m.176649, Bo_m.176655, Bo_m.176662, Bo_m.176668
OG0000870	Znev_08827, Znev_08828	Bo_m.209407, Bo_m.209411, Bo_m.209415
OG0000871	Znev_14337	Bo_m.193308, Bo_m.193309, Bo_m.193311, Bo_m.193315
OG0000872	Znev_18478	Bo_m.242514, Bo_m.242515, Bo_m.242531, Bo_m.242532
OG0000873	Znev_14551	Bo_m.29282, Bo_m.29286, Bo_m.29296, Bo_m.29301
OG0000874	Znev_14235	Bo_m.276960, Bo_m.276974, Bo_m.276985, Bo_m.277002
OG0000875	Znev_16329	Bo_m.172259, Bo_m.172272, Bo_m.241761, Bo_m.241767
OG0000876	Znev_16372	Bo_m.106156, Bo_m.106161, Bo_m.106165, Bo_m.106171
OG0000877		Bo_m.29949, Bo_m.337939, Bo_m.337940, Bo_m.376826, Bo_m.376833
OG0000878		Bo_m.84354, Bo_m.84355, Bo_m.84367, Bo_m.84382, Bo_m.84383
OG0000879		Bo_m.114380, Bo_m.114384, Bo_m.168575, Bo_m.219342, Bo_m.367591
OG0000880		Bo_m.255209, Bo_m.314630, Bo_m.380777, Bo_m.380779, Bo_m.380781
OG0000881		Bo_m.280066, Bo_m.335855, Bo_m.338557, Bo_m.338558, Bo_m.338561
OG0000882	Znev_04701, Znev_08480	Bo_m.262542, Bo_m.315867
OG0000883	Znev_06137, Znev_07191	Bo_m.197095, Bo_m.319202
OG0000884	Znev_06169	Bo_m.34436, Bo_m.34440, Bo_m.34444
OG0000885	Znev_02197, Znev_15152, Znev_15261	Bo_m.34332
OG0000886	Znev_02198	Bo_m.317694, Bo_m.317700, Bo_m.317704
OG0000887	Znev_02202	Bo_m.266316, Bo_m.266317, Bo_m.266323
OG0000888	Znev_02205	Bo_m.55636, Bo_m.55645, Bo_m.55658
OG0000889	Znev_02211	Bo_m.194337, Bo_m.194343, Bo_m.194349
OG0000890	Znev_02219	Bo_m.165079, Bo_m.165083, Bo_m.165087
OG0000891	Znev_15974, Znev_18816, Znev_18850	Bo_m.276099
OG0000892	Znev_08433, Znev_10607	Bo_m.245339, Bo_m.245349
OG0000893	Znev_13604	Bo_m.73044, Bo_m.73049, Bo_m.73056
OG0000894	Znev_05045, Znev_12426	Bo_m.183142, Bo_m.8447
OG0000895	Znev_05046, Znev_05047	Bo_m.311305, Bo_m.311310
OG0000896	Znev_04969, Znev_05049, Znev_15719	Bo_m.249737
OG0000897	Znev_13364, Znev_14170	Bo_m.313580, Bo_m.368209
OG0000898	Znev_01890, Znev_16270	Bo_m.317324, Bo_m.317330
OG0000899	Znev_01922	Bo_m.33355, Bo_m.33360, Bo_m.33365
OG0000900	Znev_01924	Bo_m.111323, Bo_m.111328, Bo_m.111333
OG0000901	Znev_01929, Znev_17151	Bo_m.120106, Bo_m.120111
OG0000902	Znev_04206	Bo_m.242252, Bo_m.242259, Bo_m.242262
OG0000903	Znev_04217, Znev_10425, Znev_14975	Bo_m.228311
OG0000904	Znev_03571	Bo_m.278363, Bo_m.278376, Bo_m.278389
OG0000905	Znev_13617, Znev_16871	Bo_m.1254, Bo_m.68129
OG0000906	Znev_04531	Bo_m.94827, Bo_m.94832, Bo_m.94836
OG0000907	Znev_14944	Bo_m.76376, Bo_m.76380, Bo_m.76381
OG0000908	Znev_02531	Bo_m.239020, Bo_m.239034, Bo_m.239043
OG0000909	Znev_16617, Znev_17582	Bo_m.61200, Bo_m.64187
OG0000910	Znev_09542	Bo_m.102359, Bo_m.102375, Bo_m.102379
OG0000911	Znev_09554, Znev_17184	Bo_m.352866, Bo_m.352868
OG0000912	Znev_15854	Bo_m.199948, Bo_m.199961, Bo_m.199965
OG0000913	Znev_07503	Bo_m.126711, Bo_m.126719, Bo_m.126730
OG0000914	Znev_07478	Bo_m.167948, Bo_m.167956, Bo_m.167964
OG0000915	Znev_02608, Znev_02610	Bo_m.148140, Bo_m.223547
OG0000916	Znev_02639, Znev_13805, Znev_15313	Bo_m.362008
OG0000917	Znev_14023	Bo_m.84904, Bo_m.84925, Bo_m.84947
OG0000918	Znev_04235	Bo_m.128735, Bo_m.128751, Bo_m.128754
OG0000919	Znev_04238	Bo_m.296684, Bo_m.296685, Bo_m.296686
OG0000920	Znev_04253	Bo_m.110859, Bo_m.110860, Bo_m.110861
OG0000921	Znev_04256, Znev_04257	Bo_m.236093, Bo_m.236099
OG0000922	Znev_05071	Bo_m.125177, Bo_m.125188, Bo_m.125195
OG0000923	Znev_05101, Znev_05102	Bo_m.147888, Bo_m.147909
OG0000924	Znev_00240, Znev_15439	Bo_m.115682, Bo_m.372428
OG0000925	Znev_04471, Znev_14133	Bo_m.275675, Bo_m.50438
OG0000926	Znev_06566	Bo_m.353719, Bo_m.353721, Bo_m.353722
OG0000927	Znev_06584	Bo_m.89531, Bo_m.89533, Bo_m.89535
OG0000928	Znev_02476, Znev_02852	Bo_m.135618, Bo_m.233324
OG0000929	Znev_00565, Znev_11982	Bo_m.180451, Bo_m.180458
OG0000930	Znev_00571, Znev_00578	Bo_m.173845, Bo_m.198651
OG0000931	Znev_00574	Bo_m.146686, Bo_m.146688, Bo_m.146692
OG0000932	Znev_00592, Znev_17480	Bo_m.232994, Bo_m.370949
OG0000933	Znev_05978, Znev_15414	Bo_m.146971, Bo_m.301325
OG0000934	Znev_00226	Bo_m.98771, Bo_m.98776, Bo_m.98780
OG0000935	Znev_00236	Bo_m.115654, Bo_m.115666, Bo_m.115670
OG0000936	Znev_00249, Znev_03505	Bo_m.302344, Bo_m.342357
OG0000937	Znev_00262, Znev_17521	Bo_m.104901, Bo_m.134785
OG0000938	Znev_16500	Bo_m.103148, Bo_m.103158, Bo_m.103162
OG0000939	Znev_14585	Bo_m.223666, Bo_m.223675, Bo_m.223684
OG0000940	Znev_00730	Bo_m.132506, Bo_m.132548, Bo_m.132571
OG0000941	Znev_00750	Bo_m.280848, Bo_m.280853, Bo_m.280858
OG0000942	Znev_00755	Bo_m.149201, Bo_m.149212, Bo_m.149217
OG0000943	Znev_00759	Bo_m.79432, Bo_m.79434, Bo_m.79436
OG0000944	Znev_00763	Bo_m.119367, Bo_m.119375, Bo_m.119384
OG0000945	Znev_00780	Bo_m.81244, Bo_m.81258, Bo_m.81265
OG0000946	Znev_00796	Bo_m.29406, Bo_m.29412, Bo_m.29419
OG0000947	Znev_13641	Bo_m.206156, Bo_m.206157, Bo_m.206159
OG0000948	Znev_13597	Bo_m.196600, Bo_m.196601, Bo_m.196603
OG0000949	Znev_06332, Znev_13846, Znev_13849	Bo_m.125581
OG0000950	Znev_10854, Znev_10857	Bo_m.79509, Bo_m.79510
OG0000951	Znev_02264	Bo_m.74517, Bo_m.74532, Bo_m.74536
OG0000952	Znev_02293, Znev_02294	Bo_m.210932, Bo_m.215958
OG0000953	Znev_08969	Bo_m.233697, Bo_m.233709, Bo_m.233721
OG0000954	Znev_00857	Bo_m.138685, Bo_m.138690, Bo_m.138700
OG0000955	Znev_00885, Znev_07217	Bo_m.282621, Bo_m.370369
OG0000956	Znev_13289, Znev_16393, Znev_16802	Bo_m.147211
OG0000957	Znev_18824, Znev_18846, Znev_19033	Bo_m.364509
OG0000958	Znev_10483	Bo_m.35784, Bo_m.35825, Bo_m.35835
OG0000959	Znev_10486	Bo_m.219483, Bo_m.219506, Bo_m.219528
OG0000960	Znev_10487	Bo_m.219492, Bo_m.219517, Bo_m.219538
OG0000961	Znev_14616	Bo_m.226835, Bo_m.239997, Bo_m.240003
OG0000962	Znev_09523, Znev_10791	Bo_m.183592, Bo_m.215535
OG0000963	Znev_09541, Znev_13833	Bo_m.269245, Bo_m.348474
OG0000964	Znev_00020, Znev_01570	Bo_m.102179, Bo_m.366692
OG0000965	Znev_00048	Bo_m.251385, Bo_m.251388, Bo_m.251390
OG0000966	Znev_00074	Bo_m.148078, Bo_m.148087, Bo_m.148096
OG0000967	Znev_00142	Bo_m.180384, Bo_m.180390, Bo_m.180396
OG0000968	Znev_00157	Bo_m.132743, Bo_m.132747, Bo_m.132751
OG0000969	Znev_00163	Bo_m.190455, Bo_m.190461, Bo_m.190467
OG0000970	Znev_00173	Bo_m.162339, Bo_m.162343, Bo_m.162345
OG0000971	Znev_11441, Znev_16516	Bo_m.329318, Bo_m.68299
OG0000972	Znev_16518	Bo_m.124316, Bo_m.124321, Bo_m.124326
OG0000973	Znev_16523, Znev_16524	Bo_m.273351, Bo_m.334203
OG0000974	Znev_12990, Znev_15215	Bo_m.24871, Bo_m.373988
OG0000975	Znev_15691	Bo_m.176866, Bo_m.176873, Bo_m.176879
OG0000976	Znev_05150	Bo_m.302838, Bo_m.302842, Bo_m.302846
OG0000977	Znev_03926, Znev_10880	Bo_m.273808, Bo_m.39916
OG0000978	Znev_04561	Bo_m.67864, Bo_m.67867, Bo_m.67870
OG0000979	Znev_01167, Znev_04565	Bo_m.2607, Bo_m.355692
OG0000980	Znev_04575, Znev_12250	Bo_m.199852, Bo_m.362861
OG0000981	Znev_04591	Bo_m.146526, Bo_m.146528, Bo_m.146531
OG0000982	Znev_04432	Bo_m.114084, Bo_m.114091, Bo_m.114095
OG0000983	Znev_04453	Bo_m.125403, Bo_m.125409, Bo_m.125414
OG0000984	Znev_06752	Bo_m.137560, Bo_m.137565, Bo_m.137569
OG0000985	Znev_03132	Bo_m.231771, Bo_m.231775, Bo_m.231779
OG0000986	Znev_03153, Znev_10984	Bo_m.321611, Bo_m.54700
OG0000987	Znev_03517	Bo_m.253245, Bo_m.253248, Bo_m.253251
OG0000988	Znev_02008	Bo_m.267590, Bo_m.267601, Bo_m.267612
OG0000989	Znev_02013	Bo_m.94877, Bo_m.94885, Bo_m.94899
OG0000990	Znev_02014	Bo_m.94871, Bo_m.94879, Bo_m.94893
OG0000991	Znev_02029	Bo_m.203834, Bo_m.203838, Bo_m.203841
OG0000992	Znev_02048, Znev_09715	Bo_m.305516, Bo_m.305517
OG0000993	Znev_12595	Bo_m.153991, Bo_m.154010, Bo_m.154033
OG0000994	Znev_02383	Bo_m.182994, Bo_m.183008, Bo_m.183026
OG0000995	Znev_08146	Bo_m.191296, Bo_m.191304, Bo_m.191312
OG0000996	Znev_08153, Znev_08156	Bo_m.165400, Bo_m.165405
OG0000997	Znev_00992, Znev_17638	Bo_m.302181, Bo_m.380507
OG0000998	Znev_07044	Bo_m.127237, Bo_m.127240, Bo_m.127244
OG0000999	Znev_07050, Znev_16951	Bo_m.138462, Bo_m.168737
OG0001000	Znev_07052, Znev_09362	Bo_m.152276, Bo_m.240238
OG0001001	Znev_00933	Bo_m.262240, Bo_m.262272, Bo_m.262277
OG0001002	Znev_00939	Bo_m.69758, Bo_m.69776, Bo_m.69779
OG0001003	Znev_00954, Znev_13916	Bo_m.271205, Bo_m.271207
OG0001004	Znev_00957, Znev_00958	Bo_m.134446, Bo_m.139865
OG0001005	Znev_00967	Bo_m.48512, Bo_m.48513, Bo_m.48514
OG0001006	Znev_05679, Znev_10468	Bo_m.105197, Bo_m.328502
OG0001007	Znev_15117	Bo_m.205733, Bo_m.205737, Bo_m.205742
OG0001008	Znev_10696, Znev_16863	Bo_m.182501, Bo_m.62424
OG0001009	Znev_10703	Bo_m.346976, Bo_m.346977, Bo_m.346978
OG0001010	Znev_10711	Bo_m.230255, Bo_m.230261, Bo_m.230265
OG0001011	Znev_03204	Bo_m.187504, Bo_m.187510, Bo_m.187515
OG0001012	Znev_03208	Bo_m.124688, Bo_m.124692, Bo_m.124706
OG0001013	Znev_03211	Bo_m.150958, Bo_m.150985, Bo_m.151025
OG0001014	Znev_04613	Bo_m.157095, Bo_m.157102, Bo_m.157113
OG0001015	Znev_04621	Bo_m.228517, Bo_m.228540, Bo_m.228551
OG0001016	Znev_04625	Bo_m.114798, Bo_m.114804, Bo_m.114810
OG0001017	Znev_18197	Bo_m.174274, Bo_m.174286, Bo_m.174296
OG0001018	Znev_04904, Znev_16807	Bo_m.3519, Bo_m.368262
OG0001019	Znev_04915	Bo_m.152104, Bo_m.152109, Bo_m.152114
OG0001020	Znev_04934	Bo_m.292127, Bo_m.292133, Bo_m.292140
OG0001021	Znev_04939	Bo_m.251332, Bo_m.251337, Bo_m.251343
OG0001022	Znev_09201	Bo_m.260704, Bo_m.260720, Bo_m.260724
OG0001023	Znev_09206	Bo_m.228567, Bo_m.228572, Bo_m.228580
OG0001024	Znev_09214	Bo_m.140659, Bo_m.140664, Bo_m.140668
OG0001025	Znev_09215	Bo_m.255223, Bo_m.255227, Bo_m.255232
OG0001026	Znev_01434	Bo_m.44149, Bo_m.44163, Bo_m.44190
OG0001027	Znev_01494, Znev_03855, Znev_06622	Bo_m.20315
OG0001028	Znev_08164, Znev_08651	Bo_m.209778, Bo_m.54366
OG0001029	Znev_08670	Bo_m.246174, Bo_m.246176, Bo_m.246182
OG0001030	Znev_13308	Bo_m.244096, Bo_m.244106, Bo_m.244119
OG0001031	Znev_02709	Bo_m.160016, Bo_m.160021, Bo_m.160031
OG0001032	Znev_05542	Bo_m.79185, Bo_m.79192, Bo_m.79208
OG0001033	Znev_05561, Znev_05562	Bo_m.138855, Bo_m.264574
OG0001034	Znev_05569	Bo_m.118291, Bo_m.118293, Bo_m.118295
OG0001035	Znev_12756	Bo_m.214336, Bo_m.214337, Bo_m.214338
OG0001036	Znev_09302, Znev_12734	Bo_m.179234, Bo_m.277068
OG0001037	Znev_09752	Bo_m.145560, Bo_m.145566, Bo_m.145575
OG0001038	Znev_01587, Znev_09759	Bo_m.284904, Bo_m.333932
OG0001039	Znev_09765	Bo_m.313280, Bo_m.313281, Bo_m.313282
OG0001040	Znev_11015	Bo_m.207420, Bo_m.207424, Bo_m.207430
OG0001041	Znev_03236	Bo_m.282575, Bo_m.282580, Bo_m.282595
OG0001042	Znev_03257, Znev_03259	Bo_m.137949, Bo_m.238347
OG0001043	Znev_03258	Bo_m.128329, Bo_m.128330, Bo_m.128332
OG0001044	Znev_09796	Bo_m.167120, Bo_m.167132, Bo_m.167141
OG0001045	Znev_04690	Bo_m.73243, Bo_m.73247, Bo_m.73253
OG0001046	Znev_04697	Bo_m.31409, Bo_m.31411, Bo_m.31420
OG0001047	Znev_04698	Bo_m.71675, Bo_m.71682, Bo_m.71690
OG0001048	Znev_16651	Bo_m.118479, Bo_m.118487, Bo_m.118495
OG0001049	Znev_01365	Bo_m.144968, Bo_m.144971, Bo_m.144974
OG0001050	Znev_01418, Znev_01419	Bo_m.40739, Bo_m.40743
OG0001051	Znev_12417, Znev_16830	Bo_m.206511, Bo_m.244174
OG0001052	Znev_07159	Bo_m.160334, Bo_m.160346, Bo_m.160361
OG0001053	Znev_17947, Znev_18298	Bo_m.206874, Bo_m.31307
OG0001054	Znev_06914	Bo_m.281146, Bo_m.281148, Bo_m.281149
OG0001055	Znev_06920	Bo_m.39445, Bo_m.39452, Bo_m.39462
OG0001056	Znev_17770	Bo_m.146156, Bo_m.146160, Bo_m.146164
OG0001057	Znev_12876	Bo_m.290307, Bo_m.290311, Bo_m.290315
OG0001058	Znev_03648	Bo_m.152180, Bo_m.152182, Bo_m.152183
OG0001059	Znev_05355	Bo_m.28358, Bo_m.28360, Bo_m.28362
OG0001060	Znev_05366	Bo_m.199730, Bo_m.199735, Bo_m.199741
OG0001061	Znev_11348	Bo_m.164861, Bo_m.164863, Bo_m.164865
OG0001062	Znev_03632	Bo_m.167018, Bo_m.167027, Bo_m.167036
OG0001063	Znev_03633	Bo_m.167009, Bo_m.167026, Bo_m.167035
OG0001064	Znev_06671	Bo_m.94496, Bo_m.94497, Bo_m.94498
OG0001065	Znev_06199	Bo_m.90658, Bo_m.90663, Bo_m.90665
OG0001066	Znev_09660	Bo_m.205496, Bo_m.205501, Bo_m.205505
OG0001067	Znev_09663, Znev_14227	Bo_m.288360, Bo_m.323438
OG0001068	Znev_02745	Bo_m.102937, Bo_m.102942, Bo_m.102950
OG0001069	Znev_02761	Bo_m.96570, Bo_m.96576, Bo_m.96582
OG0001070	Znev_12888	Bo_m.234285, Bo_m.234290, Bo_m.234295
OG0001071	Znev_01087, Znev_06517	Bo_m.138583, Bo_m.81866
OG0001072	Znev_06528	Bo_m.198396, Bo_m.198404, Bo_m.198412
OG0001073	Znev_06529	Bo_m.198397, Bo_m.198405, Bo_m.198413
OG0001074	Znev_06553	Bo_m.75590, Bo_m.75594, Bo_m.75598
OG0001075	Znev_09984	Bo_m.183113, Bo_m.183122, Bo_m.183126
OG0001076	Znev_09990	Bo_m.49942, Bo_m.49946, Bo_m.49948
OG0001077	Znev_07447	Bo_m.246743, Bo_m.246747, Bo_m.246752
OG0001078	Znev_06652	Bo_m.222037, Bo_m.222043, Bo_m.222049
