Subcomponent ID	Famliy Name	Gene NAME	Component ID	ORF type(Based on Predicted protein)	Predicted protein length	"E-value(Overall,hmmsearch)"	"E-value(Best domain,hmmsearch)"	"Query Coverage(BLASTP, Trinotate, %)"	"Target ID(BLASTX,Trinotate)"	"Identity(BLASTX,Trinotate)"	"Query coordinates(BALSTX, Trinotate)"	"Target coordinates(BALSTP, Trinotate)"	"E-value(BLASTX, Trinotate)"	"Traget Length(BLASTX, Trinotate)"	"Full Name(BLASTX, Trinotate)"	"Target ID(BLASTP,Trinotate)"	"Identity(BLASTP,Trinotate)"	"Query coordinates(BALSTP, Trinotate)"	"Target coordinates(BALSTP, Trinotate)_2"	"E-value(BLASTP, Trinotate)"	"Traget Length(BLASTP, Trinotate)"	"Target Coverage(BLASTP, Trinotate,%)"	"Full Name(BLASTP, Trinotate)"	"Best Domain ID(PFAM, Trinotate)"	"Best Domain Name(PFAM,Trinoate)"	"E-value(Pfam,Trinotate)"
TRINITY_DN204331_c12_g1_i4	CLIPs	Serine protease easter-6	TRINITY_DN204331_c12_g1	complete	308	5.30E-57	6.30E-57	92.208	EAST_DROME	0.36271	1838-987	102-391	3.52E-46	392	Serine protease easter	EAST_DROME	0.36824	23-306	102-391	1.21E-49	392	73.98	Serine protease easter	PF00089.23	Trypsin	3.60E-48
TRINITY_DN34868_c0_g1_i1	CLIPs	Serine protease easter-7	TRINITY_DN34868_c0_g1	internal	146	9.30E-20	1.10E-19	84.247	EAST_DROME	0.30303	69-437	120-250	3.65E-14	392	Serine protease easter	EAST_DROME	0.30303	23-145	120-250	3.29E-14	392	33.418	Serine protease easter	PF00089.23	Trypsin	4.50E-14
TRINITY_DN210614_c3_g1_i2	CLIPs	Serine protease easter-1	TRINITY_DN210614_c3_g1	complete	418	3.90E-63	4.20E-63	97.368	EAST_DROME	0.40053	372-1493	36-386	4.34E-84	392	Serine protease easter	EAST_DROME	0.3878	5-411	7-386	1.51E-87	392	96.939	Serine protease easter	PF00089.23	Trypsin	1.50E-52
TRINITY_DN206030_c8_g1_i2	CLIPs	Serine protease easter-2	TRINITY_DN206030_c8_g1	5prime_partial	399	2.00E-64	2.20E-64	88.972	EAST_DROME	0.38674	112-1176	37-386	4.80E-74	392	Serine protease easter	EAST_DROME	0.38674	38-392	37-386	2.03E-76	392	89.286	Serine protease easter	PF00089.23	Trypsin	4.20E-52
TRINITY_DN205038_c16_g1_i1	CLIPs	Serine protease easter-3	TRINITY_DN205038_c16_g1	internal	531	2.60E-14	9.60E-14	16.573	EAST_DROME	0.48913	1265-1528	113-202	3.83E-14	392	Serine protease easter	EAST_DROME	0.48913	422-509	113-202	3.18E-14	392	22.959	Serine protease easter	PF00089.23	Trypsin	8.00E-12
TRINITY_DN103011_c0_g1_i1	CLIPs	Serine protease hepsin	TRINITY_DN103011_c0_g1	internal	102	7.10E-12	7.30E-12	72.549	HEPS_RAT	0.41892	1-222	165-229	4.61E-09	416	Serine protease hepsin	HEPS_RAT	0.41892	Jan-74	165-229	4.15E-09	416	15.625	Serine protease hepsin	PF00089.23	Trypsin	8.20E-13
TRINITY_DN191962_c0_g1_i1	CLIPs	Serine protease snake	TRINITY_DN191962_c0_g1	complete	323	1.20E-66	1.30E-66	91.331	SNAK_DROME	0.40134	310-1194	147-433	3.87E-64	435	Serine protease snake	SNAK_DROME	0.40134	28-322	147-433	1.04E-65	435	65.977	Serine protease snake	PF00089.23	Trypsin	2.20E-52
TRINITY_DN205149_c0_g1_i2	CLIPs	Serine protease snake(CLIP-2)	TRINITY_DN205149_c0_g1	5prime_partial	392	1.50E-71	1.50E-71	63.52	SNAK_DROME	0.44314	1000-254	182-432	7.76E-70	435	Serine protease snake	SNAK_DROME	0.44314	139-387	182-432	1.23E-69	435	57.701	Serine protease snake	PF00089.23	Trypsin	2.10E-58
TRINITY_DN203899_c0_g1_i1	CLIPs	Serine protease snake(CLIP-4)	TRINITY_DN203899_c0_g1	complete	394	4.70E-66	6.90E-66	92.386	SNAK_DROME	0.38727	1269-178	88-432	1.33E-64	435	Serine protease snake	SNAK_DROME	0.38727	29-392	88-432	1.51E-66	435	79.31	Serine protease snake	PF00089.23	Trypsin	1.20E-54
TRINITY_DN212041_c0_g2_i1	CLIPs	Serine protease snake(CLIP-5)	TRINITY_DN212041_c0_g2	complete	352	1.40E-60	1.50E-60	93.182	SNAK_DROME	0.35613	2489-1506	87-433	8.49E-54	435	Serine protease snake	SNAK_DROME	0.35613	24-351	87-433	9.12E-58	435	79.77	Serine protease snake	PF00089.23	Trypsin	7.50E-54
TRINITY_DN202525_c0_g1_i1	CLIPs	Serine protease snake(CLIP-9)	TRINITY_DN202525_c0_g1	5prime_partial	376	3.30E-62	8.60E-62	88.298	SNAK_DROME	0.33426	123-1118	89-429	1.48E-43	435	Serine protease snake	SNAK_DROME	0.33426	41-372	89-429	3.51E-48	435	78.391	Serine protease snake	PF00089.23	Trypsin	4.30E-50
TRINITY_DN120666_c0_g1_i1	CLIPs	Serine proteinase stubble-1	TRINITY_DN120666_c0_g1	5prime_partial	211	3.30E-23	3.70E-23	91.469	STUB_DROME	0.30986	3-581	584-783	1.43E-16	787	Serine proteinase stubble	STUB_DROME	0.30986	1-193	584-783	1.77E-17	787	25.413	Serine proteinase stubble	PF00089.23	Trypsin	1.10E-25
TRINITY_DN180733_c0_g1_i1	CLIPs	Serine proteinase stubble-2	TRINITY_DN180733_c0_g1	5prime_partial	307	5.50E-76	6.20E-76	98.697	STUB_DROME	0.80812	884-72	522-786	4.25E-142	787	Serine proteinase stubble	STUB_DROME	0.73377	3-305	483-786	6.48E-157	787	38.628	Serine proteinase stubble	PF00089.23	Trypsin	2.30E-62
TRINITY_DN192813_c2_g1_i1	CLIPs	Serine proteinase stubble-3	TRINITY_DN192813_c2_g1	internal	103	2.30E-16	2.60E-16	73.786	STUB_DROME	0.47368	60-287	670-742	3.09E-16	787	Serine proteinase stubble	STUB_DROME	0.47368	20-95	670-742	2.78E-16	787	9.276	Serine proteinase stubble	PF00089.23	Trypsin	4.00E-15
TRINITY_DN199205_c2_g1_i1	CLIPs	Serine proteinase stubble-4	TRINITY_DN199205_c2_g1	internal	130	4.40E-24	5.10E-24	93.846	STUB_DROME	0.37615	23-349	620-727	3.76E-20	787	Serine proteinase stubble	STUB_DROME	0.42623	8-129	620-740	2.46E-28	787	15.375	Serine proteinase stubble	PF00089.23	Trypsin	5.60E-23
TRINITY_DN207404_c7_g1_i4	CLIPs	Serine proteinase stubble-5	TRINITY_DN207404_c7_g1	complete	408	3.10E-77	6.60E-77	66.176	STUB_DROME	0.34317	1584-775	529-786	1.04E-38	787	Serine proteinase stubble	STUB_DROME	0.34317	126-395	529-786	1.84E-40	787	32.783	Serine proteinase stubble	PF00089.23	Trypsin	2.90E-53
TRINITY_DN211676_c1_g1_i1	CLIPs	Serine proteinase stubble-6	TRINITY_DN211676_c1_g1	5prime_partial	396	6.40E-51	7.70E-51	65.657	STUB_DROME	0.31008	1729-980	530-782	2.37E-26	787	Serine proteinase stubble	STUB_DROME	0.31343	90-349	521-782	4.46E-29	787	33.291	Serine proteinase stubble	PF00089.23	Trypsin	8.10E-38
TRINITY_DN205845_c4_g1_i1	CLIPs	Testisin	TRINITY_DN205845_c4_g1	complete	271	1.90E-47	2.30E-47	85.609	TEST_MOUSE	0.3668	174-869	53-304	1.23E-33	324	Testisin	TEST_MOUSE	0.3668	37-268	53-304	9.10E-44	324	77.778	Testisin	PF00089.23	Trypsin	5.20E-59
TRINITY_DN195636_c1_g1_i1	CLIPs	Transmembrane protease serine 11B-like protein	TRINITY_DN195636_c1_g1	internal	144	3.90E-19	4.50E-19	85.417	TM11B_MOUSE	0.31746	379-11	171-284	3.85E-12	416	Transmembrane protease serine 11B-like protein	TM11B_MOUSE	0.31746	18-140	171-284	3.47E-12	416	27.404	Transmembrane protease serine 11B-like protein	PF00089.23	Trypsin	5.70E-16
TRINITY_DN213919_c0_g3_i1	CLIPs	Transmembrane protease serine 11G	TRINITY_DN213919_c0_g3	complete	258	2.30E-35	2.70E-35	89.535	TM11G_RAT	0.36975	1301-609	185-417	1.94E-34	417	Transmembrane protease serine 11G	TM11G_RAT	0.36975	27-257	185-417	9.96E-37	417	55.875	Transmembrane protease serine 11G	PF00089.23	Trypsin	9.00E-43
TRINITY_DN186830_c0_g1_i1	CLIPs	Transmembrane protease serine 3	TRINITY_DN186830_c0_g1	complete	295	1.60E-46	1.90E-46	75.593	TMPS3_MOUSE	0.32751	272-940	227-450	1.58E-30	453	Transmembrane protease serine 3	TMPS3_MOUSE	0.31278	61-283	227-450	3.75E-31	453	49.448	Transmembrane protease serine 3	PF00089.23	Trypsin	1.10E-42
TRINITY_DN202673_c1_g1_i1	CLIPs	Trypsin	TRINITY_DN202673_c1_g1	complete	260	2.50E-40	3.30E-40	96.154	TRYP_PHACE	0.375	1003-254	5-258	1.03E-38	258	Trypsin	TRYP_PHACE	0.375	10-259	5-258	1.69E-44	258	98.45	Trypsin	PF00089.23	Trypsin	3.80E-48
TRINITY_DN205799_c16_g1_i1	CLIPs	Trypsin 3A1	TRINITY_DN205799_c16_g1	complete	265	1.60E-56	2.10E-56	96.981	TRY3_AEDAE	0.43295	1263-493	4-254	5.19E-62	254	Trypsin 3A1	TRY3_AEDAE	0.43295	8-264	4-254	2.06E-64	254	98.819	Trypsin 3A1	PF00089.23	Trypsin	1.60E-64
TRINITY_DN199291_c0_g1_i2	CLIPs	Trypsin 5G1	TRINITY_DN199291_c0_g1	5prime_partial	253	1.30E-24	1.60E-24	87.352	TRY5_AEDAE	0.30631	810-190	49-266	1.58E-21	266	Trypsin 5G1	TRY5_AEDAE	0.31064	32-252	35-266	3.02E-26	266	87.218	Trypsin 5G1	PF00089.23	Trypsin	6.50E-26
TRINITY_DN146385_c0_g1_i1	CLIPs	Trypsin eta	TRINITY_DN146385_c0_g1	3prime_partial	157	1.20E-20	1.40E-20	95.541	TRYU_DROER	0.37333	459-10	82-220	2.23E-20	258	Trypsin eta	TRYU_DROER	0.37333	4-153	82-220	7.00E-21	258	53.876	Trypsin eta	PF00089.23	Trypsin	2.50E-26
TRINITY_DN28487_c0_g2_i1	CLIPs	Trypsin eta	TRINITY_DN28487_c0_g2	5prime_partial	150	1.40E-28	1.70E-28	68.667	TRYU_DROER	0.49524	519-211	151-254	1.43E-24	258	Trypsin eta	TRYU_DROER	0.49524	1-103	151-254	3.10E-25	258	40.31	Trypsin eta	PF00089.23	Trypsin	1.10E-27
TRINITY_DN116125_c0_g1_i1	CLIPs	Trypsin II-P29	TRINITY_DN116125_c0_g1	5prime_partial	230	3.10E-78	3.40E-78	93.913	TRY3_CHICK	0.41096	667-20	43-245	1.26E-47	248	Trypsin II-P29	TRY3_CHICK	0.41096	13-228	43-245	1.00E-47	248	81.855	Trypsin II-P29	PF00089.23	Trypsin	4.40E-65
TRINITY_DN198412_c0_g2_i1	CLIPs	Trypsin zeta	TRINITY_DN198412_c0_g2	complete	263	1.90E-33	2.20E-33	96.578	TRYZ_DROME	0.31716	939-178	9-273	5.59E-28	280	Trypsin zeta	TRYZ_DROME	0.31716	4-257	9-273	7.55E-29	280	94.643	Trypsin zeta	PF00089.23	Trypsin	1.20E-36
TRINITY_DN138339_c0_g1_i1	CLIPs	Trypsin-1-1	TRINITY_DN138339_c0_g1	5prime_partial	282	1.30E-47	1.50E-47	85.816	TRYP_NEOBL	0.38934	819-103	20-251	7.18E-43	254	Trypsin	TRY1_ANOGA	0.36694	40-281	39-274	8.18E-46	274	86.131	Trypsin-1	PF00089.23	Trypsin	1.20E-57
TRINITY_DN165791_c2_g1_i1	CLIPs	Trypsin-1-2	TRINITY_DN165791_c2_g1	internal	164	1.20E-41	1.30E-41	98.78	TRYP_ASTAS	0.45679	489-4	59-215	1.74E-39	237	Trypsin-1	TRYP_ASTAS	0.45679	1-162	59-215	1.57E-39	237	66.245	Trypsin-1	PF00089.23	Trypsin	3.90E-43
TRINITY_DN190257_c0_g1_i1	CLIPs	Trypsin-1-3	TRINITY_DN190257_c0_g1	5prime_partial	263	3.10E-49	4.00E-49	86.692	TRYDG_DROME	0.44531	16-771	1-251	1.46E-52	0	Trypsin delta/gamma	TRY1_ANOGA	0.44783	34-261	47-274	4.16E-64	274	83.212	Trypsin-1	PF00089.23	Trypsin	4.20E-64
TRINITY_DN194806_c1_g1_i1	CLIPs	Trypsin-1-4	TRINITY_DN194806_c1_g1	5prime_partial	159	2.60E-40	2.80E-40	97.484	TRY1_ANOGA	0.47799	1-465	116-274	3.77E-41	274	Trypsin-1	TRY1_ANOGA	0.47799	1-155	116-274	4.70E-47	274	58.029	Trypsin-1	PF00089.23	Trypsin	2.80E-46
TRINITY_DN201020_c2_g1_i1	CLIPs	Trypsin-1-5	TRINITY_DN201020_c2_g1	5prime_partial	266	1.40E-52	1.60E-52	83.083	TRYP_ASTAS	0.40678	106-768	1-232	6.01E-46	237	Trypsin-1	TRYP_ASTAS	0.40678	36-256	1-232	1.48E-47	237	97.89	Trypsin-1	PF00089.23	Trypsin	9.70E-63
TRINITY_DN201073_c0_g1_i1	CLIPs	Trypsin-1-6	TRINITY_DN201073_c0_g1	5prime_partial	264	5.70E-54	7.00E-54	85.227	TRY1_ANOGA	0.47162	107-781	47-274	3.17E-69	274	Trypsin-1	TRY1_ANOGA	0.47162	36-260	47-274	2.37E-69	274	83.212	Trypsin-1	PF00089.23	Trypsin	5.70E-65
TRINITY_DN201373_c1_g1_i1	CLIPs	Trypsin-1-7	TRINITY_DN201373_c1_g1	5prime_partial	301	3.60E-51	4.20E-51	77.741	TRYP_ASTAS	0.40496	889-188	1-232	1.68E-48	237	Trypsin-1	TRYP_ASTAS	0.40496	46-279	1-232	3.53E-49	237	97.89	Trypsin-1	PF00089.23	Trypsin	2.70E-57
TRINITY_DN202628_c0_g1_i1	CLIPs	Trypsin-1-8	TRINITY_DN202628_c0_g1	5prime_partial	314	6.20E-55	7.00E-55	71.975	TRY1_ANOGA	0.3871	296-940	58-274	1.63E-59	274	Trypsin-1	TRY1_ANOGA	0.38596	88-313	47-274	5.16E-64	274	83.212	Trypsin-1	PF00089.23	Trypsin	3.20E-58
TRINITY_DN202673_c0_g1_i1	CLIPs	Trypsin-1-9	TRINITY_DN202673_c0_g1	5prime_partial	260	7.10E-41	9.20E-41	86.923	TRY1_ANOGA	0.37391	764-87	47-274	1.03E-43	274	Trypsin-1	TRY1_ANOGA	0.37391	34-259	47-274	4.12E-44	274	83.212	Trypsin-1	PF00089.23	Trypsin	5.00E-52
TRINITY_DN202753_c4_g1_i1	CLIPs	Trypsin-1-10	TRINITY_DN202753_c4_g1	5prime_partial	176	3.40E-39	3.70E-39	96.023	TRYP_ASTAS	0.39766	1-507	69-233	2.22E-31	237	Trypsin-1	TRYP_ASTAS	0.39766	1-169	69-233	2.22E-33	237	69.62	Trypsin-1	PF00089.23	Trypsin	4.30E-38
TRINITY_DN203473_c0_g2_i1	CLIPs	Trypsin-1-11	TRINITY_DN203473_c0_g2	5prime_partial	293	1.80E-50	2.00E-50	76.792	TRYP_ASTAS	0.43644	1274-612	1-232	1.19E-47	237	Trypsin-1	TRYP_ASTAS	0.43333	65-289	1-236	1.38E-50	237	99.578	Trypsin-1	PF00089.23	Trypsin	2.50E-61
TRINITY_DN203701_c0_g1_i2	CLIPs	Trypsin-1-12	TRINITY_DN203701_c0_g1	5prime_partial	273	2.10E-47	2.50E-47	82.784	TRY1_ANOGA	0.38961	713-36	47-274	1.56E-54	274	Trypsin-1	TRY1_ANOGA	0.38961	47-272	47-274	1.02E-54	274	83.212	Trypsin-1	PF00089.23	Trypsin	2.50E-55
TRINITY_DN204594_c1_g1_i3	CLIPs	Trypsin-1-13	TRINITY_DN204594_c1_g1	5prime_partial	248	3.30E-48	3.90E-48	90.726	TRYP_ASTAS	0.42917	63-737	1-235	3.24E-48	237	Trypsin-1	TRYP_ASTAS	0.42917	21-245	1-235	2.35E-49	237	99.156	Trypsin-1	PF00089.23	Trypsin	1.30E-56
TRINITY_DN205704_c1_g1_i1	CLIPs	Trypsin-1-14	TRINITY_DN205704_c1_g1	5prime_partial	260	2.40E-50	2.80E-50	89.231	TRY1_ANOGA	0.46186	802-107	39-274	3.62E-61	274	Trypsin-1	TRY1_ANOGA	0.46186	27-258	39-274	4.34E-73	274	86.131	Trypsin-1	PF00089.23	Trypsin	6.80E-64
TRINITY_DN210519_c2_g1_i1	CLIPs	Trypsin-1-15	TRINITY_DN210519_c2_g1	complete	261	3.40E-47	4.00E-47	85.824	TRYP_ASTAS	0.43096	160-831	1-233	2.25E-44	237	Trypsin-1	TRYP_ASTAS	0.43096	32-255	1-233	2.35E-52	237	98.312	Trypsin-1	PF00089.23	Trypsin	4.70E-57
TRINITY_DN211373_c1_g1_i1	CLIPs	Trypsin-1-16	TRINITY_DN211373_c1_g1	5prime_partial	262	4.90E-49	6.10E-49	90.84	TRY1_ANOGA	0.42149	66-779	38-274	8.15E-60	274	Trypsin-1	TRY1_ANOGA	0.44628	22-259	38-274	2.96E-68	274	86.496	Trypsin-1	PF00089.23	Trypsin	7.30E-63
TRINITY_DN229351_c0_g1_i1	CLIPs	Trypsin-1-17	TRINITY_DN229351_c0_g1	5prime_partial	169	2.30E-47	2.70E-47	91.716	TRYP_ASTAS	0.49677	558-94	87-236	3.70E-44	237	Trypsin-1	TRYP_ASTAS	0.49677	6-160	87-236	1.91E-44	237	63.291	Trypsin-1	PF00089.23	Trypsin	2.30E-47
TRINITY_DN203274_c4_g3_i1	CLIPs	Trypsin-2-1	TRINITY_DN203274_c4_g3	5prime_partial	125	5.80E-27	7.30E-27	68	TRY2_SALSA	0.58889	707-453	141-227	1.39E-24	231	Trypsin-2	TRY2_SALSA	0.58889	Jun-90	141-227	8.28E-27	231	37.662	Trypsin-2	PF00089.23	Trypsin	7.80E-29
TRINITY_DN204349_c0_g1_i1	CLIPs	Trypsin-2-2	TRINITY_DN204349_c0_g1	5prime_partial	287	2.30E-35	2.70E-35	78.746	TRY2_ANOGA	0.34934	1237-560	50-277	1.21E-42	277	Trypsin-2	TRY2_ANOGA	0.34934	59-284	50-277	1.26E-44	277	82.31	Trypsin-2	PF00089.23	Trypsin	5.00E-41
TRINITY_DN164285_c1_g1_i1	CLIPs	Trypsin-3-1	TRINITY_DN164285_c1_g1	5prime_partial	256	8.30E-48	1.10E-47	99.219	TRY3_ANOGA	0.34701	6-767	30-275	1.33E-45	275	Trypsin-3	TRY3_ANOGA	0.35448	2-255	30-275	2.80E-47	275	89.455	Trypsin-3	PF00089.23	Trypsin	1.80E-54
TRINITY_DN198524_c0_g1_i1	CLIPs	Trypsin-3-2	TRINITY_DN198524_c0_g1	5prime_partial	251	2.40E-32	3.20E-32	90.04	TRY3_ANOGA	0.36239	113-742	57-274	1.09E-35	275	Trypsin-3	TRY3_ANOGA	0.36325	22-247	42-274	1.21E-43	275	84.727	Trypsin-3	PF00089.23	Trypsin	9.80E-45
TRINITY_DN199137_c0_g1_i1	CLIPs	Trypsin-3-3	TRINITY_DN199137_c0_g1	5prime_partial	269	1.40E-48	1.60E-48	83.271	TRY2_ANOGA	0.4375	77-790	38-277	1.21E-52	277	Trypsin-2	TRY3_ANOGA	0.44248	38-261	48-273	1.43E-66	275	82.182	Trypsin-3	PF00089.23	Trypsin	9.60E-60
TRINITY_DN202672_c0_g1_i2	CLIPs	Trypsin-3-4	TRINITY_DN202672_c0_g1	complete	257	1.30E-52	1.70E-52	90.661	TRY3_ANOGA	0.45	273-971	34-273	1.68E-61	275	Trypsin-3	TRY3_ANOGA	0.45	21-253	34-273	2.20E-71	275	87.273	Trypsin-3	PF00089.23	Trypsin	1.40E-62
TRINITY_DN207975_c4_g4_i3	CLIPs	Trypsin-3-5	TRINITY_DN207975_c4_g4	complete	261	5.90E-47	7.20E-47	88.123	TRY3_ANOGA	0.44726	295-984	41-269	6.52E-54	275	Trypsin-3	TRY3_ANOGA	0.44726	24-253	41-269	5.43E-58	275	83.273	Trypsin-3	PF00089.23	Trypsin	1.50E-59
TRINITY_DN198196_c0_g1_i1	CLIPs	Trypsin-4	TRINITY_DN198196_c0_g1	complete	269	1.80E-24	2.30E-24	84.387	TRY4_ANOGA	0.28692	924-247	55-274	6.74E-21	275	Trypsin-4	TRY4_ANOGA	0.28571	26-252	54-274	1.48E-21	275	80.364	Trypsin-4	PF00089.23	Trypsin	2.60E-20
TRINITY_DN211048_c3_g1_i1	CLIPs	Trypsin-5(CLIP-1)	TRINITY_DN211048_c3_g1	5prime_partial	261	6.50E-49	8.00E-49	87.739	TRY5_ANOGA	0.36207	94-780	51-274	1.22E-41	274	Trypsin-5	TRY5_ANOGA	0.37069	32-260	51-274	2.22E-47	274	81.752	Trypsin-5	PF00089.23	Trypsin	7.20E-63
TRINITY_DN168020_c0_g1_i1	CLIPs	Trypsin-7-1	TRINITY_DN168020_c0_g1	internal	126	8.20E-27	9.00E-27	99.206	TRY7_ANOGA	0.40157	1-375	118-242	2.07E-28	267	Trypsin-7	TRY7_ANOGA	0.40157	1-125	118-242	1.87E-28	267	46.816	Trypsin-7	PF00089.23	Trypsin	1.50E-31
TRINITY_DN168098_c0_g1_i1	CLIPs	Trypsin-7-2	TRINITY_DN168098_c0_g1	3prime_partial	250	8.90E-48	1.10E-47	88.4	TRY4_ANOGA	0.42489	115-798	37-269	1.73E-48	275	Trypsin-4	TRY7_ANOGA	0.43111	29-249	41-265	6.18E-62	267	84.27	Trypsin-7	PF00089.23	Trypsin	5.20E-61
TRINITY_DN197824_c0_g1_i1	CLIPs	Trypsin-7-3	TRINITY_DN197824_c0_g1	5prime_partial	232	3.70E-39	4.30E-39	89.224	TRY7_ANOGA	0.38095	20-640	56-262	2.86E-39	267	Trypsin-7	TRY7_ANOGA	0.38095	7-213	56-262	4.86E-41	267	77.528	Trypsin-7	PF00089.23	Trypsin	1.00E-46
TRINITY_DN201441_c0_g1_i1	CLIPs	Trypsin-7-4	TRINITY_DN201441_c0_g1	5prime_partial	268	2.00E-52	2.30E-52	86.194	TRY7_ANOGA	0.43404	944-252	36-267	4.32E-61	267	Trypsin-7	TRY7_ANOGA	0.43404	37-267	36-267	2.86E-62	267	86.891	Trypsin-7	PF00089.23	Trypsin	4.50E-61
TRINITY_DN201757_c0_g1_i1	CLIPs	Trypsin-7-5	TRINITY_DN201757_c0_g1	5prime_partial	238	3.50E-50	4.20E-50	91.176	TRY7_ANOGA	0.4375	48-698	41-262	2.23E-57	267	Trypsin-7	TRY7_ANOGA	0.4375	16-232	41-262	1.61E-59	267	83.146	Trypsin-7	PF00089.23	Trypsin	1.50E-60
TRINITY_DN202314_c0_g1_i3	CLIPs	Trypsin-7-6	TRINITY_DN202314_c0_g1	complete	265	1.00E-33	1.20E-33	98.113	TRY7_ANOGA	0.2967	64-843	1-264	1.61E-26	267	Trypsin-7	TRY7_ANOGA	0.2967	1-260	1-264	3.60E-27	267	98.876	Trypsin-7	PF00089.23	Trypsin	6.90E-36
TRINITY_DN205251_c0_g1_i1	CLIPs	Trypsin-7-7	TRINITY_DN205251_c0_g1	5prime_partial	259	7.30E-55	8.80E-55	99.228	TRY1_ANOGA	0.47807	100-774	47-274	3.49E-60	274	Trypsin-1	TRY7_ANOGA	0.45896	2-258	1-267	1.30E-78	267	100	Trypsin-7	PF00089.23	Trypsin	1.40E-67
TRINITY_DN205378_c3_g1_i2	CLIPs	Trypsin-7-8	TRINITY_DN205378_c3_g1	complete	261	1.60E-52	1.90E-52	83.525	TRY7_ANOGA	0.44643	595-1248	40-261	6.43E-58	267	Trypsin-7	TRY7_ANOGA	0.44643	34-251	40-261	6.81E-62	267	83.146	Trypsin-7	PF00089.23	Trypsin	1.30E-61
TRINITY_DN205922_c0_g1_i1	CLIPs	Trypsin-7-9	TRINITY_DN205922_c0_g1	complete	286	8.00E-60	9.80E-60	93.007	TRY7_ANOGA	0.37276	120-917	5-261	7.29E-43	267	Trypsin-7	TRY7_ANOGA	0.37276	8-273	5-261	7.63E-44	267	96.255	Trypsin-7	PF00089.23	Trypsin	1.70E-55
TRINITY_DN206189_c5_g1_i1	CLIPs	Trypsin-7-10	TRINITY_DN206189_c5_g1	5prime_partial	140	5.90E-35	6.10E-35	99.286	TRY7_ANOGA	0.48571	746-330	129-267	1.36E-39	267	Trypsin-7	TRY7_ANOGA	0.48571	1-139	129-267	3.13E-41	267	52.06	Trypsin-7	PF00089.23	Trypsin	1.10E-39
TRINITY_DN209682_c5_g1_i1	CLIPs	Trypsin-7-11	TRINITY_DN209682_c5_g1	5prime_partial	266	1.50E-50	1.80E-50	95.865	TRY7_ANOGA	0.35741	14-775	2-262	1.34E-29	267	Trypsin-7	TRY7_ANOGA	0.35606	5-259	2-263	3.67E-47	267	98.127	Trypsin-7	PF00089.23	Trypsin	2.20E-57
TRINITY_DN209701_c4_g2_i1	CLIPs	Trypsin-7-12	TRINITY_DN209701_c4_g2	complete	259	9.80E-38	1.20E-37	99.228	TRY7_ANOGA	0.35472	911-138	4-266	1.08E-43	267	Trypsin-7	TRY7_ANOGA	0.35227	1-257	5-266	8.35E-44	267	98.127	Trypsin-7	PF00089.23	Trypsin	1.20E-48
TRINITY_DN211152_c0_g1_i3	CLIPs	Trypsin-7-13	TRINITY_DN211152_c0_g1	complete	254	3.00E-53	3.70E-53	99.213	TRY7_ANOGA	0.45076	2456-1701	7-267	1.06E-63	267	Trypsin-7	TRY7_ANOGA	0.45076	1-252	7-267	8.25E-70	267	97.753	Trypsin-7	PF00089.23	Trypsin	8.40E-68
TRINITY_DN202673_c1_g2_i2	CLIPs	Trypsin-7(CLIP-6)	TRINITY_DN202673_c1_g2	complete	260	1.90E-39	2.60E-39	81.923	TRY7_ANOGA	0.3578	909-271	54-267	9.99E-37	267	Trypsin-7	TRY7_ANOGA	0.3578	47-259	54-267	2.23E-38	267	80.15	Trypsin-7	PF00089.23	Trypsin	8.80E-48
TRINITY_DN198138_c1_g1_i2	CLIPs	Venom protease	TRINITY_DN198138_c1_g1	5prime_partial	300	5.50E-70	6.80E-70	80.333	SP4_BOMPE	0.38618	1567-845	2-234	1.04E-42	243	Venom protease	SP4_BOMPE	0.38618	52-292	2-234	2.70E-52	243	95.885	Venom protease	PF00089.23	Trypsin	8.70E-58
TRINITY_DN202245_c0_g1_i1	CLIPs	Venom serine protease 34-1	TRINITY_DN202245_c0_g1	5prime_partial	293	1.40E-51	1.60E-51	87.713	SP34_APIME	0.43346	1121-351	149-403	7.72E-67	405	Venom serine protease 34	SP34_APIME	0.43346	35-291	149-403	4.07E-71	405	62.963	Venom serine protease 34	PF00089.23	Trypsin	1.50E-48
TRINITY_DN208065_c2_g1_i1	CLIPs	Venom serine protease 34-2	TRINITY_DN208065_c2_g1	complete	395	4.60E-50	4.70E-50	94.43	SP34_APIME	0.38259	2935-1817	41-403	5.16E-74	405	Venom serine protease 34	SP34_APIME	0.38259	21-393	41-403	1.43E-80	405	89.63	Venom serine protease 34	PF00089.23	Trypsin	1.50E-49
TRINITY_DN210801_c1_g1_i3	CLIPs	Venom serine protease Bi-VSP-1	TRINITY_DN210801_c1_g1	complete	378	5.00E-70	5.20E-70	90.741	VSP_BOMIG	0.48116	1365-337	21-352	1.73E-103	360	Venom serine protease Bi-VSP	VSP_BOMIG	0.48116	28-370	21-352	3.58E-112	360	92.222	Venom serine protease Bi-VSP	PF00089.23	Trypsin	1.90E-62
